season,holiday,workingday,weather,temp,atemp,humidity,windspeed,year,month,day,hour,count
1,0,0,1,9.84,14.395,81,8.831761360168457,2011,1,1,0,16
1,0,0,1,9.02,13.635,80,8.527545928955078,2011,1,1,1,40
1,0,0,1,9.02,13.635,80,8.456592559814453,2011,1,1,2,32
1,0,0,1,9.84,14.395,75,8.614047050476074,2011,1,1,3,13
1,0,0,1,9.84,14.395,75,8.437458038330078,2011,1,1,4,1
1,0,0,1,9.02,13.635,80,8.14659309387207,2011,1,1,6,2
1,0,0,1,8.2,12.88,86,5.331969738006592,2011,1,1,7,3
1,0,0,1,9.84,14.395,75,9.217367172241211,2011,1,1,8,8
1,0,0,1,13.12,17.425,76,8.335748672485352,2011,1,1,9,14
1,0,1,1,8.2,12.88,47,5.935985088348389,2011,1,3,19,110
1,0,1,1,9.02,13.635,64,8.833844184875488,2011,1,4,21,48
1,0,1,1,8.2,12.88,64,8.015497207641602,2011,1,5,0,6
1,0,1,1,8.2,12.88,47,6.200534343719482,2011,1,5,23,19
1,0,1,1,7.38,12.12,55,4.999851703643799,2011,1,6,0,11
1,0,1,1,6.56,11.365,64,8.336236953735352,2011,1,6,1,4
1,0,1,1,6.56,11.365,64,8.152522087097168,2011,1,6,2,2
1,0,1,2,6.56,11.365,59,6.753248691558838,2011,1,6,7,95
1,0,1,1,6.56,11.365,59,6.261229991912842,2011,1,6,8,219
1,0,1,2,7.38,12.12,51,3.975503444671631,2011,1,6,9,122
1,0,1,1,8.2,12.88,47,5.418680191040039,2011,1,6,10,45
1,0,1,1,10.66,14.395,35,8.366096496582031,2011,1,6,12,84
1,0,1,1,11.48,13.635,36,13.921408653259277,2011,1,6,15,62
1,0,1,3,9.02,13.635,55,7.252367973327637,2011,1,7,5,5
1,0,1,2,8.2,12.88,69,8.74787712097168,2011,1,7,6,34
1,0,1,2,8.2,12.88,37,4.444080352783203,2011,1,7,17,187
1,0,0,2,7.38,12.12,55,5.311400413513184,2011,1,8,2,16
1,0,1,2,6.56,11.365,55,5.1818952560424805,2011,1,11,7,99
1,0,1,3,6.56,11.365,93,6.9984822273254395,2011,1,11,19,51
1,0,1,1,4.1,9.09,54,14.858348846435547,2011,1,14,6,17
1,0,1,1,4.92,8.335,68,14.10252857208252,2011,1,14,8,158
1,0,1,1,8.2,12.88,47,5.568375110626221,2011,1,14,18,139
1,0,1,1,7.38,12.12,59,6.581928253173828,2011,1,14,20,68
1,0,1,1,6.56,11.365,69,7.742496013641357,2011,1,14,21,52
1,0,1,2,6.56,11.365,69,9.701990127563477,2011,1,14,22,36
1,0,1,2,7.38,12.12,55,5.559438228607178,2011,1,14,23,27
1,0,0,1,7.38,12.12,55,4.999851703643799,2011,1,15,0,28
1,0,0,2,6.56,11.365,59,7.894936561584473,2011,1,15,3,8
